site_name,species_trees,ave_basal_area
64,BF,1.428571429
64,PB,10
64,RM,3.571428571
64,WS,3.571428571
64,YB,6.428571429
Bluff 10,WC,2.5
Bluff 4,SM,0.571428571
Bluff 4,WP,0.285714286
Bluff 5,QA,1.875
Bluff 5,WP,1.875
Bluff 5,WS,0.625
Bluff 6,QA,0.555555556
Bluff 9,RM,2.5
Bushmaker 359 Sonju NH Gaps,PB,0.833333333
Bushmaker 359 Sonju NH Gaps,RM,1.666666667
Bushmaker 359 Sonju NH Gaps,SM,45.83333333
Bushmaker 359 Sonju NH Gaps,WC,25
Bushmaker 359 Sonju NH Gaps,YB,15
Cramer Road,BF,2.777777778
Cramer Road,PB,0.555555556
Cramer Road,QA,8.888888889
Cramer Road,RM,1.111111111
Cramer Road,RO,1.666666667
Cramer Road,SM,2.222222222
Cramer Road,WS,3.333333333
Cross Salvage 2,BS,0.344827586
Cross Salvage 2,PB,1.034482759
Cross Salvage 2,QA,0.344827586
Cross Salvage 2,SM,1.034482759
Cross Salvage 2,WC,0.344827586
Day Hill Backpack,BP,30
Day Hill Backpack,PB,20
Day Hill Fill,BF,10
Day Hill Gami,PB,10
Day Hill Gitchi,PB,20
Day Hill South,BF,1.666666667
Day Hill South,Other,3.333333333
Day Hill South,PB,26.66666667
Day Hill South,SM,3.333333333
Dollar Bill 14,BA,2.5
Dollar Bill 15,RP,1
Dollar Bill 18,QA,0.5
Dollar Bill 18,WS,0.5
Dollar Bill 8,QA,0.277777778
Dollar Bill 8,RM,0.833333333
Dollar Bill 8,WC,6.111111111
Dubbins Gap,PB,0.833333333
Earl West And Co 7,PB,7.142857143
Earl West And Co 7,SM,0.714285714
Earl West And Co 7,WC,9.285714286
Earl West And Co 7,YB,3.571428571
Eckbeck View East,QA,5
Eckbeck View West,BF,0.555555556
Eckbeck View West,PB,1.111111111
Eckbeck View West,QA,2.222222222
Eckbeck View West,WP,0.555555556
Eckbeck View West,WS,5.555555556
End Of KC West 1,PB,5.555555556
End Of KC West 1,SM,1.111111111
End Of KC West 1,WS,4.444444444
End of KC West 2,PB,5
End of KC West 2,QA,0.3125
End of KC West 2,RM,0.3125
End of KC West 2,WS,2.5
Fireball 1,BS,1.666666667
Fireball 1,JP,1.666666667
Fireball 1,RP,3.333333333
Fireball 2,JP,0
Fireball 3,JP,0.322580645
Fireball 3,PB,0.161290323
Fireball 3,RP,2.258064516
Fireball 3,WP,0.322580645
Fireball 3,(blank),0.161290323
Fireball 7,PB,1.666666667
Fireball 7,RP,5
Harvest 2021,BF,2.5
Harvest 2021,BP,0.5
Harvest 2021,PB,14
Harvest 2021,QA,0.5
Harvest 2021,RM,8.5
Harvest 2021,SM,6
Harvest 2021,WC,5.5
Harvest 2021,YB,8.5
Howard Gnesen,PB,15
Howard Gnesen,QA,2.5
Howard Gnesen,RM,52.5
Howard Gnesen,SM,27.5
Howard Gnesen,WA,40
Howard Gnesen,WP,0
Howard Gnesen,WS,2.5
Howard Gnesen,(blank),30
Kangas 1,PB,1.111111111
Kangas 1,WS,1.111111111
