sitename,dbh_class,species_seedlings,sum_tally
64,medium,BF,4
64,medium,PB,11
64,medium,RM,1
64,medium,WS,28
64,bigly,BF,2
64,bigly,WS,9
64,small,BF,11
64,small,PB,23
64,small,QA,4
64,small,RM,3
64,small,WP,24
64,small,WS,8
Bluff 10,medium,QA,11
Bluff 10,small,PB,18
Bluff 10,small,QA,101
Bluff 10,small,RP,18
Bluff 10,small,WP,13
Bluff 4,medium,PB,6
Bluff 4,medium,QA,20
Bluff 4,small,BA,3
Bluff 4,small,BF,57
Bluff 4,small,BP,8
Bluff 4,small,JP,77
Bluff 4,small,PB,34
Bluff 4,small,QA,984
Bluff 4,small,RP,48
Bluff 4,small,WC,6
Bluff 4,small,WP,154
Bluff 4,small,WS,25
Bluff 5,medium,QA,20
Bluff 5,small,BF,18
Bluff 5,small,JP,16
Bluff 5,small,PB,19
Bluff 5,small,QA,465
Bluff 5,small,RM,10
Bluff 5,small,RP,15
Bluff 5,small,WP,73
Bluff 5,small,WS,26
Bluff 6,small,QA,83
Bluff 6,medium,QA,3
Bluff 6,small,BF,2
Bluff 6,small,BP,31
Bluff 6,small,JP,39
Bluff 6,small,QA,847
Bluff 6,small,RP,12
Bluff 6,small,WP,31
Bluff 6,small,WS,37
Bluff 9,small,QA,256
Bluff 9,small,RP,8
Bushmaker 359 Sonju NH Gaps,medium,BF,6
Bushmaker 359 Sonju NH Gaps,medium,SM,3
Bushmaker 359 Sonju NH Gaps,medium,YB,1
Bushmaker 359 Sonju NH Gaps,bigly,RM,1
Bushmaker 359 Sonju NH Gaps,bigly,SM,2
Bushmaker 359 Sonju NH Gaps,small,BA,4
Bushmaker 359 Sonju NH Gaps,small,BF,25
Bushmaker 359 Sonju NH Gaps,small,BP,2
Bushmaker 359 Sonju NH Gaps,small,Other,2
Bushmaker 359 Sonju NH Gaps,small,PB,25
Bushmaker 359 Sonju NH Gaps,small,QA,4
Bushmaker 359 Sonju NH Gaps,small,RM,4
Bushmaker 359 Sonju NH Gaps,small,RP,1
Bushmaker 359 Sonju NH Gaps,small,SM,258
Bushmaker 359 Sonju NH Gaps,small,WC,13
Bushmaker 359 Sonju NH Gaps,small,WP,5
Bushmaker 359 Sonju NH Gaps,small,WS,3
Bushmaker 359 Sonju NH Gaps,small,YB,24
Cramer Road,small,RO,6
Cramer Road,medium,BF,2
Cramer Road,medium,QA,25
Cramer Road,medium,SM,1
Cramer Road,bigly,BF,1
Cramer Road,bigly,QA,13
Cramer Road,bigly,RO,2
Cramer Road,bigly,SM,4
Cramer Road,small,BA,4
Cramer Road,small,BF,130
Cramer Road,small,BP,36
Cramer Road,small,QA,212
Cramer Road,small,RM,14
Cramer Road,small,RO,7
Cramer Road,small,RP,36
Cramer Road,small,SM,53
Cramer Road,small,WP,19
Cramer Road,small,WS,9
Cross Salvage 2,medium,QA,2
Cross Salvage 2,small,BF,112
Cross Salvage 2,small,PB,90
Cross Salvage 2,small,QA,192
Cross Salvage 2,small,TM,44
Cross Salvage 2,small,WP,65
Cross Salvage 2,small,WS,132
Cross Salvage 2,(blank),QA,1
Day Hill Backpack,bigly,BP,1
Day Hill Backpack,small,BP,16
Day Hill Backpack,small,WS,4
Day Hill Fill,bigly,QA,3
Day Hill Fill,small,BF,2
Day Hill Fill,small,QA,24
Day Hill Fill,small,WP,1
Day Hill Fill,small,WS,6
Day Hill Gami,bigly,BP,2
Day Hill Gami,small,BF,1
Day Hill Gami,small,BP,28
Day Hill Gami,small,WP,3
Day Hill Gami,small,WS,5
Day Hill Gitchi,small,PB,5
Day Hill Gitchi,small,RO,1
Day Hill Gitchi,small,WP,1
Day Hill Gitchi,small,WS,12
Day Hill South,medium,WP,2
Day Hill South,bigly,WP,1
Day Hill South,small,BO,1
Day Hill South,small,WS,19
Dollar Bill 10,medium,WP,2
Dollar Bill 10,small,BF,5
Dollar Bill 10,small,PB,10
Dollar Bill 10,small,QA,280
Dollar Bill 10,small,WP,23
Dollar Bill 10,small,WS,1
Dollar Bill 12,medium,QA,6
Dollar Bill 12,small,BF,18
Dollar Bill 12,small,PB,39
Dollar Bill 12,small,QA,183
Dollar Bill 12,small,RM,3
Dollar Bill 12,small,WP,22
Dollar Bill 13,small,QA,26
Dollar Bill 13,small,PB,5
Dollar Bill 13,small,QA,2
Dollar Bill 13,small,WP,6
Dollar Bill 14,small,QA,8
Dollar Bill 14,small,BP,8
Dollar Bill 14,small,PB,10
Dollar Bill 14,small,QA,4
Dollar Bill 14,small,WP,1
Dollar Bill 15,small,BP,17
Dollar Bill 15,small,QA,2
Dollar Bill 15,small,BF,1
Dollar Bill 15,small,BP,44
Dollar Bill 15,small,PB,30
Dollar Bill 15,small,QA,80
Dollar Bill 15,small,RM,5
Dollar Bill 15,small,WP,16
Dollar Bill 18,small,BP,11
Dollar Bill 18,small,QA,17
Dollar Bill 18,medium,PB,2
Dollar Bill 18,medium,QA,37
Dollar Bill 18,medium,RM,3
Dollar Bill 18,bigly,RM,1
Dollar Bill 18,small,BF,7
Dollar Bill 18,small,BP,18
Dollar Bill 18,small,PB,62
Dollar Bill 18,small,QA,301
Dollar Bill 18,small,RM,24
Dollar Bill 18,small,SM,4
Dollar Bill 18,small,WP,13
Dollar Bill 6,medium,PB,3
Dollar Bill 6,small,BF,9
Dollar Bill 6,small,PB,19
Dollar Bill 6,small,QA,174
Dollar Bill 6,small,WP,9
Dollar Bill 8,small,QA,52
Dollar Bill 8,medium,WS,2
Dollar Bill 8,small,BF,29
Dollar Bill 8,small,BP,40
Dollar Bill 8,small,PB,85
Dollar Bill 8,small,QA,905
Dollar Bill 8,small,RM,48
Dollar Bill 8,small,WP,75
Dollar Bill 8,small,WS,1
Dubbins Gap,medium,QA,1
Dubbins Gap,medium,SM,1
Dubbins Gap,small,BA,97
Dubbins Gap,small,BF,3
Dubbins Gap,small,BP,49
Dubbins Gap,small,QA,102
Dubbins Gap,small,RM,4
Dubbins Gap,small,RO,4
Dubbins Gap,small,SM,30
Dubbins Gap,small,SWO,1
Dubbins Gap,small,WC,5
Dubbins Gap,small,WP,32
Dubbins Gap,small,WS,33
Earl West And Co 7,small,Other,1
Earl West And Co 7,small,WP,2
Earl West And Co 7,medium,BF,2
Earl West And Co 7,medium,SM,1
Earl West And Co 7,small,BF,19
Earl West And Co 7,small,JP,1
Earl West And Co 7,small,PB,9
Earl West And Co 7,small,QA,197
Earl West And Co 7,small,RM,5
Earl West And Co 7,small,SM,7
Earl West And Co 7,small,WP,36
Eckbeck,small,QA,67
Eckbeck,small,BP,51
Eckbeck,small,QA,58
Eckbeck,small,RO,4
Eckbeck,small,WP,2
Eckbeck,small,WS,2
Eckbeck View East,small,BO,4
Eckbeck View East,small,QA,169
Eckbeck View East,small,WP,1
Eckbeck View West,small,BA,10
